Ordine delle domande 
 versione 	q1	q2	q3	q4	q5	q6	q7	q8	q9	q10	q11	q12	q13	q14	q15	q16	q17	q18	q19	q20	q21	q22	q23	q24	q25	q26	q27	q28	q29	q30	q31	q32	q33	q34	q35	q36	q37	q38	q39	q40	
0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
1	22	8	12	19	5	1	25	23	4	10	34	11	2	15	36	33	29	18	32	30	38	14	21	35	27	31	16	17	40	28	26	24	3	39	13	37	6	20	7	9	
2	40	32	39	3	1	15	11	35	30	22	10	33	17	36	28	7	13	27	2	18	12	29	38	25	34	26	31	20	23	16	9	8	19	37	14	5	6	4	21	24	
3	21	23	8	34	19	37	36	40	10	3	6	4	12	25	30	33	5	9	35	16	1	28	18	2	22	17	15	29	7	26	38	11	14	32	13	24	20	31	27	39	
4	38	29	31	10	36	25	2	17	20	5	28	9	15	3	18	13	6	35	39	7	40	14	24	19	32	34	23	1	16	30	37	8	21	4	11	22	33	12	27	26	
5	8	25	39	13	7	38	11	40	4	17	22	18	14	5	31	37	34	28	21	36	33	6	23	29	3	2	15	32	20	35	16	9	27	24	19	30	12	10	1	26	
6	23	40	13	27	34	21	24	12	36	22	11	38	1	2	6	5	9	39	37	31	29	32	25	8	35	30	10	28	7	20	19	16	14	26	4	18	3	33	15	17	
7	1	37	34	11	19	23	14	5	15	40	13	18	30	3	35	17	27	22	21	4	8	28	7	29	33	20	9	26	32	10	12	6	24	36	31	25	39	16	2	38	
8	29	35	31	20	32	22	16	17	39	36	13	14	27	25	19	2	28	4	30	6	40	8	33	5	7	10	26	1	12	11	24	23	18	3	34	21	37	38	15	9	
9	39	33	32	18	21	27	34	15	8	26	4	25	22	9	16	1	24	2	20	35	5	13	38	12	36	19	23	14	31	7	10	17	3	30	37	29	6	40	11	28	
10	31	28	17	16	27	18	13	20	6	11	12	36	35	29	3	7	22	32	24	1	33	9	2	38	23	15	39	5	10	19	34	4	21	8	37	26	25	30	14	40	
11	40	19	18	3	7	35	2	22	4	16	28	36	29	38	14	27	13	31	34	33	17	26	6	32	5	20	8	21	39	9	15	24	12	23	30	11	37	25	10	1	
12	6	30	37	7	22	2	39	32	5	1	34	4	15	23	40	35	26	24	29	27	3	12	13	19	8	28	25	31	9	10	17	20	11	14	18	38	36	21	16	33	
13	11	24	7	20	4	25	21	14	5	19	23	16	29	10	2	33	27	15	12	40	1	18	17	8	30	38	22	6	28	37	36	35	13	31	26	3	34	39	32	9	
14	39	1	23	19	28	16	14	13	2	37	24	9	35	38	20	29	34	32	26	18	10	40	21	36	25	7	12	15	8	4	22	30	5	33	3	6	11	27	31	17	
15	10	11	13	34	1	12	6	3	5	25	23	38	16	21	30	33	32	15	18	14	29	2	4	20	31	35	17	28	26	8	22	9	19	24	36	7	39	37	27	40	
16	32	12	25	28	24	34	16	31	40	17	3	2	4	5	35	21	39	29	14	8	19	23	13	6	10	27	26	11	15	20	36	30	37	7	9	38	18	33	1	22	
17	13	34	11	3	25	33	23	1	28	6	16	29	22	17	39	14	21	12	30	36	19	27	4	35	5	10	38	15	24	8	40	18	31	37	9	32	26	7	2	20	
18	38	33	11	2	27	26	20	24	32	35	8	7	3	31	16	14	37	5	30	15	12	4	40	1	25	22	28	29	17	6	19	36	23	13	18	10	39	34	21	9	
19	30	13	28	4	29	32	17	40	25	1	23	33	21	10	19	11	27	18	38	22	39	8	37	14	7	24	5	16	31	9	36	35	15	12	26	34	20	3	2	6	
20	33	11	22	15	40	4	34	17	3	1	26	38	8	12	14	23	32	27	19	36	37	21	29	5	39	31	18	28	24	9	7	6	25	30	13	2	10	35	20	16	
21	2	40	9	22	14	30	39	10	20	4	33	7	38	28	21	25	32	23	3	12	5	27	11	13	6	8	34	1	26	29	36	24	37	17	18	16	15	31	35	19	
22	17	25	10	4	12	40	28	32	19	34	27	18	15	26	30	37	2	3	31	21	11	38	14	20	8	35	5	13	22	29	9	1	23	39	36	6	16	33	7	24	
23	7	16	10	31	14	36	2	34	30	4	12	5	27	19	37	32	3	29	18	25	21	39	22	20	28	1	38	17	26	33	13	35	11	15	24	9	6	8	23	40	
24	21	24	34	23	38	37	17	20	9	18	5	11	12	1	6	16	7	25	40	19	33	31	28	4	32	8	26	35	27	14	36	22	3	30	39	10	15	29	13	2	
25	1	9	8	34	27	22	29	28	6	36	7	33	30	40	2	19	35	32	37	26	24	13	12	3	21	11	5	10	4	16	31	17	25	18	14	39	20	23	15	38	
26	5	8	10	3	24	16	31	19	39	17	9	23	4	18	7	15	1	32	38	29	33	21	12	13	20	11	22	28	25	26	6	40	27	30	36	37	34	2	35	14	
27	19	20	9	2	1	13	30	37	16	22	3	40	23	17	15	24	18	11	33	34	8	25	14	39	26	31	5	28	6	36	4	10	38	35	12	32	21	29	27	7	
28	36	9	22	19	28	24	15	25	39	40	8	11	18	27	33	10	34	14	31	4	20	32	21	23	6	5	17	1	12	29	13	16	2	38	3	37	26	7	30	35	
29	39	38	37	31	1	28	40	3	35	15	12	16	9	20	11	7	10	21	19	23	6	5	8	26	17	32	25	18	14	33	27	22	13	4	36	29	34	24	2	30	
30	27	6	30	12	3	21	36	33	24	5	18	28	38	32	29	1	25	39	11	22	14	19	23	15	2	26	7	37	8	9	34	40	17	10	20	31	4	35	16	13	
31	31	25	4	29	27	5	15	30	26	21	10	11	22	9	28	23	19	37	13	39	20	12	18	16	33	17	3	6	35	7	36	1	32	38	40	34	24	2	14	8	
32	34	36	16	26	30	28	24	9	8	20	35	39	15	11	27	13	3	1	29	17	32	10	25	40	6	23	22	19	31	5	38	2	21	18	12	37	7	4	14	33	
